"beat","brutality_count","crime_count","brutality_label"
"111","275","1707","0"
"112","123","2008","0"
"113","248","787","0"
"114","172","1089","0"
"121","35","728","0"
"122","272","1602","0"
"123","393","1316","0"
"124","284","987","0"
"131","423","834","0"
"132","603","552","1"
"133","161","685","0"
"211","175","755","0"
"212","313","873","0"
"213","174","681","0"
"214","161","538","0"
"215","45","454","0"
"221","163","512","0"
"222","227","831","0"
"223","159","676","0"
"224","201","515","0"
"225","146","547","0"
"231","107","691","0"
"232","421","494","0"
"233","259","636","0"
"234","192","697","0"
"235","16","461","0"
"311","314","519","0"
"312","656","976","1"
"313","517","677","1"
"314","235","540","0"
"321","935","1040","1"
"322","413","654","0"
"323","546","939","1"
"324","489","942","0"
"331","435","1000","0"
"332","397","1012","0"
"333","246","610","0"
"334","336","639","0"
"411","424","879","0"
"412","270","793","0"
"413","506","844","1"
"414","650","1177","1"
"421","1004","1676","1"
"422","566","817","1"
"423","868","1490","1"
"424","468","802","0"
"431","380","872","0"
"432","380","747","0"
"433","158","663","0"
"434","511","339","1"
"511","648","1641","1"
"512","615","1078","1"
"513","553","1150","1"
"522","889","977","1"
"523","533","1124","1"
"524","428","918","0"
"531","1114","772","1"
"532","488","716","0"
"533","523","1076","1"
"611","670","1069","1"
"612","871","1234","1"
"613","632","872","1"
"614","540","671","1"
"621","1769","1395","1"
"622","312","826","0"
"623","790","1296","1"
"624","1269","1464","1"
"631","822","1273","1"
"632","528","1216","1"
"633","305","691","0"
"634","663","783","1"
"711","492","631","0"
"712","668","1117","1"
"713","1220","1067","1"
"714","288","589","0"
"715","425","527","0"
"722","383","614","0"
"723","608","757","1"
"724","484","690","0"
"725","678","983","1"
"726","503","634","1"
"731","425","752","0"
"732","356","616","0"
"733","553","788","1"
"734","376","659","0"
"735","530","849","1"
"811","312","555","0"
"812","215","492","0"
"813","351","1106","0"
"814","250","593","0"
"815","266","950","0"
"821","173","556","0"
"822","312","781","0"
"823","954","1180","1"
"824","436","686","0"
"825","750","991","1"
"831","642","1098","1"
"832","638","1002","1"
"833","246","914","0"
"834","315","903","0"
"835","486","1024","0"
"911","269","426","0"
"912","305","679","0"
"913","340","637","0"
"914","372","681","0"
"915","489","654","0"
"921","223","485","0"
"922","272","670","0"
"923","136","566","0"
"924","434","756","0"
"925","373","501","0"
"931","351","550","0"
"932","474","600","0"
"933","428","507","0"
"934","647","520","1"
"935","469","501","0"
"1011","1033","1565","1"
"1012","694","729","1"
"1013","317","913","0"
"1014","625","822","1"
"1021","770","860","1"
"1022","611","1039","1"
"1023","308","568","0"
"1024","831","875","1"
"1031","292","761","0"
"1032","279","412","0"
"1033","365","632","0"
"1034","399","678","0"
"1111","854","730","1"
"1112","1497","1645","1"
"1113","802","885","1"
"1114","532","570","1"
"1115","915","746","1"
"1121","981","1314","1"
"1122","1153","1260","1"
"1123","722","887","1"
"1124","632","662","1"
"1125","345","273","0"
"1131","541","1125","1"
"1132","974","1366","1"
"1133","1003","1320","1"
"1134","1587","1126","1"
"1135","928","954","1"
"1211","453","586","0"
"1212","362","531","0"
"1213","471","573","0"
"1214","38","870","0"
"1215","64","623","0"
"1221","52","628","0"
"1222","316","639","0"
"1223","247","840","0"
"1224","217","835","0"
"1225","73","651","0"
"1231","525","653","1"
"1232","178","894","0"
"1233","272","768","0"
"1234","56","565","0"
"1235","31","506","0"
"1411","165","534","0"
"1412","260","609","0"
"1413","172","438","0"
"1414","384","531","0"
"1421","317","491","0"
"1422","403","633","0"
"1423","425","523","0"
"1424","458","970","0"
"1431","195","410","0"
"1432","128","669","0"
"1433","220","639","0"
"1434","326","661","0"
"1511","629","690","1"
"1512","527","603","1"
"1513","1029","631","1"
"1522","1308","1190","1"
"1523","776","750","1"
"1524","829","867","1"
"1531","1133","899","1"
"1532","969","870","1"
"1533","1266","1446","1"
"1611","82","370","0"
"1612","105","320","0"
"1613","64","335","0"
"1614","98","356","0"
"1621","50","215","0"
"1622","255","742","0"
"1623","376","721","0"
"1624","258","586","0"
"1631","149","400","0"
"1632","152","447","0"
"1633","394","744","0"
"1634","297","555","0"
