"COMMUNITY AREA NAME","HARDSHIP INDEX","PER CAPITA INCOME","sum_police_brutality_count","brutality_label"
"Near North Side","1","88669","5408","1"
"Riverdale","98","8201","1011","0"
"Lincoln Park","2","71551","1161","0"
"Loop","3","65526","1483","0"
"Lake View","5","60058","2458","0"
"Near South Side","7","59077","1559","0"
"North Center","6","57123","688","0"
"Near West Side","15","44689","3886","1"
"Forest Glen","11","44164","600","0"
"West Town","10","43198","3433","1"
"Edison Park","8","40959","187","0"
"Beverly","12","39523","1000","0"
"Hyde Park","14","39056","902","0"
"Lincoln Square","17","37524","1015","0"
"Kenwood","26","35911","549","0"
"Uptown","20","35787","1594","0"
"Mount Greenwood","16","34381","185","0"
"Edgewater","19","33385","1244","0"
"Norwood Park","21","32875","604","0"
"Logan Square","23","31908","3852","1"
"Calumet Heights","38","28887","2112","0"
"Jefferson Park","25","27751","763","0"
"Irving Park","34","27249","1762","0"
"Morgan Park","30","27149","944","0"
"North Park","33","26576","674","0"
"Garfield Ridge","32","26353","1471","0"
"Dunning","28","26282","970","0"
"O'Hare","24","25828","532","0"
"Clearing","29","25113","1124","0"
"Avalon Park","41","24454","1344","0"
"Portage Park","35","24336","2162","0"
"Rogers Park","39","23939","2635","1"
"Douglas","47","23791","823","0"
"Ashburn","37","23482","1587","0"
"Grand Boulevard","57","23472","903","0"
"West Ridge","46","23040","1761","0"
"Bridgeport","43","22694","1506","0"
"Hegewisch","44","22677","669","0"
"Montclaire","50","22014","540","0"
"Albany Park","53","21323","1673","0"
"Pullman","51","20588","2930","1"
"Avondale","42","20039","1213","0"
"Washington Height","48","19713","1873","0"
"South Shore","55","19398","4916","1"
"Oakland","78","19252","474","0"
"Chatham","60","18881","6728","1"
"Woodlawn","58","18672","2794","1"
"Roseland","52","17949","6023","1"
"Greater Grand Crossing","66","17285","8769","1"
"East Side","64","17104","538","0"
"McKinley Park","61","16954","574","0"
"West Lawn","56","16907","1863","0"
"South Chicago","75","16579","4250","1"
"West Pullman","62","16563","2338","0"
"Lower West Side","76","16444","1711","0"
"Armour Square","82","16148","1458","0"
"Archer Heights","67","16134","439","0"
"Austin","73","15957","14464","1"
"West Elsdon","69","15754","1102","0"
"Auburn Gresham","74","15528","5947","1"
"Belmont Cragin","70","15461","3706","1"
"Hermosa","71","15089","4012","1"
"South Deering","65","14685","3710","1"
"Washington Park","88","13785","1247","0"
"Humboldt park","85","13781","8849","1"
"Chicago Lawn","80","13231","4464","1"
"Brighton Park","84","13089","937","0"
"East Garfield Park","83","12961","6686","1"
"New City","91","12765","3671","1"
"Burnside","79","12515","1081","0"
"Gage Park","93","12171","2154","0"
"North Lawndale","87","12034","10222","1"
"Englewood","94","11888","7922","1"
"West Englewood","89","11317","6692","1"
"West Garfield Park","92","10934","5920","1"
"Fuller Park","97","10432","1234","0"
"South Lawndale","96","10402","3844","1"
