COMMUNITY AREA NAME,sum_police_brutality_count
Near North Side,5408
Riverdale,1011
Lincoln Park,1161
Loop,1483
Lake View,2458
Near South Side,1559
North Center,688
Near West Side,3886
Forest Glen,600
West Town,3433
Edison Park,187
Beverly,1000
Hyde Park,902
Lincoln Square,1015
Kenwood,549
Uptown,1594
Mount Greenwood,185
Edgewater,1244
Norwood Park,604
Logan Square,3852
Calumet Heights,2112
Jefferson Park,763
Irving Park,1762
Morgan Park,944
North Park,674
Garfield Ridge,1471
Dunning,970
O'Hare,532
Clearing,1124
Avalon Park,1344
Portage Park,2162
Rogers Park,2635
Douglas,823
Ashburn,1587
Grand Boulevard,903
West Ridge,1761
Bridgeport,1506
Hegewisch,669
Montclaire,540
Albany Park,1673
Pullman,2930
Avondale,1213
Washington Height,1873
South Shore,4916
Oakland,474
Chatham,6728
Woodlawn,2794
Roseland,6023
Greater Grand Crossing,8769
East Side,538
McKinley Park,574
West Lawn,1863
South Chicago,4250
West Pullman,2338
Lower West Side,1711
Armour Square,1458
Archer Heights,439
Austin,14464
West Elsdon,1102
Auburn Gresham,5947
Belmont Cragin,3706
Hermosa,4012
South Deering,3710
Washington Park,1247
Humboldt park,8849
Chicago Lawn,4464
Brighton Park,937
East Garfield Park,6686
New City,3671
Burnside,1081
Gage Park,2154
North Lawndale,10222
Englewood,7922
West Englewood,6692
West Garfield Park,5920
Fuller Park,1234
South Lawndale,3844
